0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:31:35 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:32:00 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:34:03 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:34:49 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:36:08 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:36:11 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:37:04 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:38:25 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:40:34 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:40:59 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:41:24 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:42:02 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:42:04 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:42:05 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:42:05 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:42:36 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:42:56 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:10 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:11 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:12 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:20 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:32 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:42 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:43:55 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:46:50 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:47:35 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:47:37 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:47:38 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:47:51 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:47:52 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:49:15 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:49:17 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:50:16 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2725
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:50:17 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:50:18 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:51:11 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:51:32 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:51:33 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:51:33 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:51:45 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:51:45 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:52:18 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:53:12 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:53:52 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:54:32 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:56:03 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:56:24 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:56:40 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:58:47 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:59:13 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:00:03 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:00:04 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:00:42 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:03:33 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:03:34 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:04:11 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2284
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:04:12 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:05:17 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:06:40 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:22:38 +0530] "GET /Doctor_clinic/admin.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:22:42 +0530] "GET /Doctor_clinic/patient.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [12/Sep/2023:22:22:45 +0530] "GET /Doctor_clinic/doctor.jsp HTTP/1.1" 404 740
